session_id,user_id,channel,device_type,region,traffic_source,category,session_length,total_time_spent,total_interactions,num_events,converted,dropped_off,purchase_value
S0000034,U004223,app,android,JP,organic,Accessories,4,97,4,4,0,1,0.0
S0000035,U006549,mobile,tablet,FR,email,Beauty,6,93,6,6,0,1,0.0
S0000036,U006737,app,android,DE,organic,Beauty,10,197,10,10,1,0,448.69
S0000037,U001035,web,android,AU,email,Sports,7,105,7,7,0,1,0.0
S0000038,U002045,web,tablet,CA,direct,Groceries,9,218,9,9,0,1,0.0
S0000039,U005813,app,android,BR,social,Accessories,4,73,4,4,0,1,0.0
S0000040,U000995,web,tablet,IN,organic,Beauty,4,76,4,4,0,1,0.0
S0000041,U000539,mobile,tablet,JP,affiliate,Sports,7,90,7,7,0,1,0.0
S0000042,U004120,web,ios,BR,social,Accessories,7,98,7,7,0,1,0.0
S0000043,U004371,app,ios,CA,paid_search,Shoes,6,94,6,6,0,1,0.0
S0000044,U005235,mobile,android,BR,referral,Shoes,6,97,6,6,1,0,142.93
S0000045,U001672,app,android,CA,affiliate,Beauty,7,117,7,7,0,1,0.0
S0000046,U001155,web,tablet,DE,affiliate,Groceries,5,71,5,5,0,1,0.0
S0000047,U004082,mobile,android,JP,email,Shoes,6,129,6,6,0,1,0.0
S0000048,U007229,app,android,JP,direct,Shoes,4,61,4,4,0,1,0.0
S0000049,U003282,app,ios,BR,social,Apparel,9,232,9,9,1,0,61.84
S0000050,U003289,web,desktop,US,paid_search,Apparel,6,113,6,6,0,1,0.0
S0000051,U006057,app,tablet,AU,referral,Sports,5,80,5,5,1,0,468.73
S0000052,U005371,app,desktop,IN,direct,Home,3,65,3,3,0,1,0.0
S0000053,U006732,web,ios,UK,organic,Home,6,107,6,6,0,1,0.0
S0000054,U004595,app,tablet,JP,social,Accessories,3,62,3,3,0,1,0.0
S0000055,U002903,app,tablet,DE,paid_search,Beauty,5,77,5,5,1,0,251.73
S0000056,U004592,mobile,tablet,UK,email,Beauty,5,101,5,5,0,1,0.0
S0000057,U006783,mobile,android,BR,paid_search,Apparel,9,218,9,9,0,1,0.0
S0000058,U003912,web,android,DE,social,Shoes,3,43,3,3,0,1,0.0
S0000059,U006052,web,ios,FR,organic,Groceries,6,76,6,6,1,0,425.37
S0000060,U002332,app,tablet,BR,paid_search,Home,8,127,8,8,0,1,0.0
S0000061,U004222,web,desktop,FR,paid_search,Apparel,5,91,5,5,0,1,0.0
S0000062,U004772,web,android,DE,referral,Home,6,89,6,6,0,1,0.0
S0000063,U001095,web,android,JP,email,Sports,7,122,7,7,0,1,0.0
S0000064,U004622,web,ios,BR,direct,Sports,5,104,5,5,1,0,396.83
S0000065,U003650,mobile,tablet,CA,email,Sports,4,37,4,4,0,1,0.0
S0000066,U006110,app,desktop,UK,email,Beauty,7,124,7,7,0,1,0.0
S0000067,U003068,mobile,tablet,FR,organic,Sports,4,74,4,4,1,0,33.63
S0000068,U001044,web,android,US,email,Apparel,8,162,8,8,0,1,0.0
S0000069,U003658,app,ios,US,referral,Shoes,7,166,7,7,0,1,0.0
S0000070,U006329,web,ios,DE,referral,Sports,6,99,6,6,0,1,0.0
S0000071,U006438,mobile,tablet,FR,paid_search,Beauty,3,59,3,3,0,1,0.0
S0000072,U006958,mobile,tablet,CA,organic,Home,9,149,9,9,0,1,0.0
S0000073,U003928,mobile,desktop,DE,paid_search,Accessories,5,66,5,5,0,1,0.0
S0000074,U002635,mobile,android,JP,social,Electronics,6,111,6,6,0,1,0.0
S0000075,U004609,app,desktop,CA,social,Sports,5,92,5,5,1,0,485.09
S0000076,U006827,mobile,android,BR,social,Home,9,220,9,9,0,1,0.0
S0000077,U005794,web,tablet,IN,social,Shoes,7,188,7,7,0,1,0.0
S0000078,U000141,app,ios,FR,organic,Apparel,6,72,6,6,0,1,0.0
S0000079,U005712,mobile,desktop,UK,organic,Groceries,5,78,5,5,0,1,0.0
S0000080,U004636,app,ios,US,paid_search,Sports,3,45,3,3,0,1,0.0
S0000081,U004617,web,android,CA,organic,Accessories,4,75,4,4,0,1,0.0
S0000082,U004620,app,android,FR,email,Apparel,3,37,3,3,1,0,235.47
S0000083,U000440,mobile,desktop,IN,social,Sports,8,114,8,8,0,1,0.0
S0000084,U006538,app,desktop,UK,social,Accessories,4,44,4,4,1,0,349.51
S0000085,U000873,web,tablet,DE,social,Electronics,4,72,4,4,0,1,0.0
S0000086,U000847,web,desktop,AU,direct,Sports,10,210,10,10,0,1,0.0
S0000087,U002456,web,android,AU,paid_search,Home,3,51,3,3,0,1,0.0
S0000088,U002496,mobile,tablet,AU,affiliate,Beauty,4,42,4,4,0,1,0.0
S0000089,U005696,mobile,ios,AU,email,Beauty,9,119,9,9,0,1,0.0
S0000090,U006535,app,tablet,UK,referral,Home,8,122,8,8,0,1,0.0
S0000091,U005748,app,desktop,UK,affiliate,Beauty,3,37,3,3,0,1,0.0
S0000092,U006166,mobile,desktop,UK,organic,Electronics,4,70,4,4,0,1,0.0
S0000093,U003065,mobile,ios,BR,social,Shoes,10,187,10,10,0,1,0.0
S0000094,U000186,app,ios,UK,referral,Electronics,9,182,9,9,0,1,0.0
S0000095,U005774,web,desktop,DE,direct,Apparel,6,108,6,6,0,1,0.0
S0000096,U003184,mobile,android,UK,social,Apparel,6,72,6,6,0,1,0.0
S0000097,U001500,app,tablet,CA,email,Apparel,4,94,4,4,0,1,0.0
S0000098,U004012,web,android,CA,affiliate,Home,5,56,5,5,0,1,0.0
S0000099,U003352,mobile,tablet,JP,paid_search,Apparel,6,125,6,6,1,0,297.49
S0000100,U006083,app,desktop,BR,direct,Apparel,5,60,5,5,0,1,0.0
S0000101,U003483,app,android,IN,affiliate,Shoes,7,102,7,7,0,1,0.0
S0000102,U005048,web,desktop,IN,direct,Beauty,3,29,3,3,0,1,0.0
S0000103,U005768,mobile,desktop,DE,paid_search,Groceries,3,83,3,3,0,1,0.0
S0000104,U001199,web,tablet,FR,paid_search,Sports,9,212,9,9,1,0,318.15
S0000105,U005201,web,tablet,BR,paid_search,Beauty,4,66,4,4,0,1,0.0
S0000106,U004638,mobile,desktop,US,organic,Accessories,4,71,4,4,1,0,143.57
S0000107,U001658,app,ios,DE,affiliate,Electronics,6,83,6,6,0,1,0.0
S0000108,U005370,app,desktop,UK,paid_search,Groceries,9,160,9,9,0,1,0.0
S0000109,U005256,web,desktop,BR,direct,Accessories,6,131,6,6,0,1,0.0
S0000110,U006165,app,android,FR,email,Apparel,4,60,4,4,0,1,0.0
S0000111,U005908,mobile,android,US,paid_search,Sports,6,116,6,6,0,1,0.0
S0000112,U000582,web,android,AU,paid_search,Groceries,6,102,6,6,1,0,482.99
S0000113,U001768,web,android,FR,referral,Home,4,83,4,4,0,1,0.0
S0000114,U000685,web,ios,BR,affiliate,Accessories,3,92,3,3,0,1,0.0
S0000115,U002541,app,desktop,IN,paid_search,Accessories,7,141,7,7,1,0,289.86
S0000116,U004285,app,ios,DE,social,Apparel,4,63,4,4,0,1,0.0
S0000117,U002229,web,desktop,DE,email,Home,7,143,7,7,1,0,393.66
S0000118,U003865,mobile,ios,CA,affiliate,Shoes,3,48,3,3,1,0,63.81
S0000119,U003410,mobile,android,UK,organic,Home,10,214,10,10,1,0,188.38
S0000120,U001988,mobile,ios,JP,referral,Sports,11,242,11,11,0,1,0.0
S0000121,U000360,app,android,FR,email,Apparel,5,126,5,5,1,0,170.88
S0000122,U001940,mobile,tablet,AU,referral,Beauty,5,80,5,5,0,1,0.0
S0000123,U003683,mobile,desktop,FR,direct,Beauty,8,136,8,8,0,1,0.0
S0000124,U000402,mobile,desktop,CA,email,Apparel,5,61,5,5,1,0,352.73
S0000125,U006748,mobile,android,UK,affiliate,Home,4,45,4,4,0,1,0.0
S0000126,U000350,web,tablet,CA,affiliate,Accessories,6,131,6,6,0,1,0.0
S0000127,U005055,app,tablet,DE,email,Sports,8,146,8,8,0,1,0.0
S0000128,U007477,app,tablet,AU,social,Electronics,6,99,6,6,0,1,0.0
S0000129,U002031,web,desktop,DE,affiliate,Accessories,5,88,5,5,0,1,0.0
S0000130,U000232,app,ios,CA,affiliate,Home,3,65,3,3,0,1,0.0
S0000131,U000461,app,desktop,IN,direct,Accessories,4,75,4,4,0,1,0.0
S0000132,U000180,app,desktop,CA,affiliate,Beauty,8,143,8,8,1,0,86.31
S0000133,U005453,web,android,FR,referral,Beauty,4,78,4,4,0,1,0.0
S0000134,U004935,app,desktop,IN,email,Apparel,7,146,7,7,1,0,186.35
S0000135,U002872,web,desktop,US,email,Groceries,9,75,9,9,0,1,0.0
S0000136,U000858,mobile,tablet,CA,paid_search,Accessories,10,167,10,10,1,0,353.31
S0000137,U005915,mobile,android,DE,paid_search,Apparel,4,96,4,4,0,1,0.0
S0000138,U000032,web,tablet,DE,paid_search,Apparel,5,131,5,5,0,1,0.0
S0000139,U000747,app,ios,FR,social,Groceries,5,75,5,5,0,1,0.0
S0000140,U006163,web,tablet,AU,affiliate,Electronics,8,100,8,8,0,1,0.0
S0000141,U004680,app,desktop,CA,affiliate,Accessories,3,77,3,3,0,1,0.0
S0000142,U000350,web,ios,FR,affiliate,Accessories,4,75,4,4,0,1,0.0
S0000143,U003256,mobile,tablet,DE,affiliate,Shoes,5,93,5,5,0,1,0.0
S0000144,U004774,web,android,UK,affiliate,Sports,8,186,8,8,0,1,0.0
S0000145,U003243,app,desktop,IN,referral,Home,7,155,7,7,0,1,0.0
S0000146,U006341,mobile,desktop,FR,paid_search,Home,3,31,3,3,0,1,0.0
S0000147,U006726,app,desktop,CA,social,Home,4,60,4,4,0,1,0.0
S0000148,U006857,web,tablet,US,organic,Beauty,3,57,3,3,0,1,0.0
S0000149,U003252,web,ios,US,social,Home,4,65,4,4,0,1,0.0
S0000150,U006863,app,android,UK,organic,Groceries,7,103,7,7,0,1,0.0
S0000151,U005304,app,ios,US,social,Beauty,4,52,4,4,0,1,0.0
S0000152,U003761,web,android,JP,referral,Sports,6,108,6,6,1,0,248.6
S0000153,U003947,mobile,android,DE,affiliate,Electronics,8,117,8,8,0,1,0.0
S0000154,U003315,app,ios,US,social,Home,4,70,4,4,0,1,0.0
S0000155,U006887,app,android,CA,organic,Beauty,8,135,8,8,0,1,0.0
S0000156,U002409,web,desktop,JP,affiliate,Sports,4,72,4,4,0,1,0.0
S0000157,U007107,app,tablet,DE,organic,Accessories,4,96,4,4,0,1,0.0
S0000158,U002592,web,android,JP,referral,Accessories,8,163,8,8,0,1,0.0
S0000159,U003141,web,ios,BR,referral,Groceries,3,52,3,3,0,1,0.0
S0000160,U000147,app,ios,IN,referral,Beauty,6,93,6,6,0,1,0.0
S0000161,U004294,mobile,android,CA,email,Shoes,6,121,6,6,0,1,0.0
S0000162,U004134,web,desktop,AU,email,Electronics,6,150,6,6,0,1,0.0
S0000163,U002071,app,ios,CA,referral,Apparel,9,181,9,9,0,1,0.0
S0000164,U001637,app,android,IN,referral,Groceries,5,78,5,5,0,1,0.0
S0000165,U000105,web,ios,JP,organic,Home,8,114,8,8,0,1,0.0
S0000166,U006051,web,desktop,US,affiliate,Electronics,6,122,6,6,0,1,0.0
S0000167,U002227,app,tablet,JP,referral,Groceries,7,114,7,7,0,1,0.0
S0000168,U006383,app,ios,US,email,Home,7,151,7,7,0,1,0.0
S0000169,U005639,web,ios,FR,email,Beauty,5,90,5,5,1,0,463.0
S0000170,U000614,mobile,android,IN,social,Shoes,4,63,4,4,0,1,0.0
S0000171,U006564,mobile,tablet,UK,email,Groceries,6,114,6,6,1,0,244.84
S0000172,U004607,app,android,JP,social,Shoes,7,106,7,7,0,1,0.0
S0000173,U004487,mobile,desktop,UK,paid_search,Home,8,133,8,8,0,1,0.0
S0000174,U006326,mobile,ios,BR,email,Shoes,5,80,5,5,0,1,0.0
S0000175,U003174,app,tablet,AU,email,Electronics,7,131,7,7,1,0,315.81
S0000176,U001646,app,android,DE,referral,Apparel,6,83,6,6,0,1,0.0
S0000177,U005524,mobile,desktop,FR,direct,Apparel,7,146,7,7,0,1,0.0
S0000178,U002939,web,ios,BR,referral,Sports,5,104,5,5,1,0,449.54
S0000179,U000441,app,ios,DE,direct,Home,4,100,4,4,0,1,0.0
S0000180,U002410,web,ios,UK,paid_search,Sports,5,112,5,5,1,0,485.11
S0000181,U003821,web,android,CA,direct,Shoes,9,157,9,9,0,1,0.0
S0000182,U004400,web,ios,AU,paid_search,Sports,7,102,7,7,0,1,0.0
S0000183,U001998,app,tablet,AU,affiliate,Apparel,5,79,5,5,0,1,0.0
S0000184,U002429,web,desktop,AU,organic,Accessories,7,180,7,7,1,0,484.71
S0000185,U003762,web,desktop,UK,organic,Accessories,6,144,6,6,0,1,0.0
S0000186,U005516,app,desktop,US,affiliate,Sports,5,76,5,5,0,1,0.0
S0000187,U000709,mobile,tablet,FR,affiliate,Shoes,5,82,5,5,0,1,0.0
S0000188,U000092,app,desktop,CA,organic,Beauty,8,116,8,8,1,0,406.22
S0000189,U005497,web,tablet,BR,referral,Electronics,4,83,4,4,1,0,163.42
S0000190,U002926,app,desktop,IN,social,Shoes,4,96,4,4,0,1,0.0
S0000191,U001249,app,android,AU,email,Groceries,6,82,6,6,0,1,0.0
S0000192,U003990,web,desktop,CA,affiliate,Apparel,8,138,8,8,0,1,0.0
S0000193,U007324,mobile,android,CA,email,Electronics,4,53,4,4,0,1,0.0
S0000194,U004182,mobile,desktop,AU,referral,Electronics,5,84,5,5,0,1,0.0
S0000195,U004640,app,tablet,CA,social,Shoes,3,44,3,3,0,1,0.0
S0000196,U003027,web,android,IN,email,Home,7,104,7,7,1,0,468.93
S0000197,U005355,mobile,android,UK,email,Electronics,4,99,4,4,1,0,10.62
S0000198,U000055,web,ios,JP,paid_search,Apparel,4,50,4,4,0,1,0.0
S0000199,U003397,app,tablet,UK,referral,Groceries,4,57,4,4,0,1,0.0
S0000200,U004699,web,desktop,CA,direct,Accessories,6,117,6,6,0,1,0.0
S0000201,U003862,web,tablet,IN,direct,Apparel,9,207,9,9,0,1,0.0
S0000202,U000136,app,tablet,BR,affiliate,Accessories,6,110,6,6,1,0,260.57
S0000203,U007390,app,tablet,US,direct,Sports,4,93,4,4,1,0,482.69
S0000204,U006592,web,ios,FR,social,Shoes,8,192,8,8,0,1,0.0
S0000205,U002968,web,android,FR,social,Sports,5,97,5,5,1,0,97.29
S0000206,U003953,mobile,tablet,BR,social,Groceries,3,38,3,3,0,1,0.0
S0000207,U003659,web,tablet,IN,affiliate,Beauty,10,128,10,10,0,1,0.0
S0000208,U003283,app,android,BR,referral,Shoes,3,76,3,3,0,1,0.0
S0000209,U001653,app,ios,DE,organic,Home,4,51,4,4,1,0,445.68
S0000210,U001290,mobile,android,FR,referral,Accessories,3,41,3,3,0,1,0.0
S0000211,U000739,mobile,android,BR,social,Electronics,6,108,6,6,1,0,385.65
S0000212,U000593,mobile,desktop,AU,affiliate,Sports,5,97,5,5,0,1,0.0
S0000213,U006354,app,desktop,JP,email,Apparel,8,182,8,8,0,1,0.0
S0000214,U000623,web,android,JP,social,Accessories,5,109,5,5,1,0,249.74
S0000215,U001662,app,ios,AU,affiliate,Apparel,9,179,9,9,0,1,0.0
S0000216,U003260,app,desktop,CA,direct,Groceries,6,85,6,6,0,1,0.0
S0000217,U003109,web,android,AU,direct,Electronics,7,128,7,7,0,1,0.0
S0000218,U006999,mobile,ios,JP,direct,Apparel,7,127,7,7,0,1,0.0
S0000219,U004093,app,android,BR,affiliate,Home,5,93,5,5,0,1,0.0
S0000220,U003904,web,android,JP,social,Beauty,4,61,4,4,0,1,0.0
S0000221,U002877,web,ios,BR,affiliate,Electronics,3,64,3,3,0,1,0.0
S0000222,U007288,mobile,tablet,DE,referral,Beauty,10,147,10,10,0,1,0.0
S0000223,U003689,web,desktop,CA,paid_search,Electronics,9,179,9,9,1,0,327.72
S0000224,U000691,mobile,ios,DE,paid_search,Electronics,6,143,6,6,0,1,0.0
S0000225,U003645,app,ios,BR,direct,Home,5,58,5,5,0,1,0.0
S0000226,U001861,mobile,android,DE,email,Electronics,5,69,5,5,1,0,498.34
S0000227,U000069,mobile,desktop,DE,affiliate,Sports,7,100,7,7,0,1,0.0
S0000228,U005123,app,android,DE,referral,Sports,5,87,5,5,1,0,486.64
S0000229,U003710,app,ios,JP,social,Groceries,8,131,8,8,0,1,0.0
S0000230,U003443,mobile,tablet,AU,referral,Shoes,6,75,6,6,0,1,0.0
S0000231,U006695,web,ios,UK,email,Home,6,94,6,6,0,1,0.0
S0000232,U001300,app,desktop,US,social,Home,5,113,5,5,0,1,0.0
S0000233,U006508,app,tablet,UK,affiliate,Electronics,4,74,4,4,1,0,43.48
S0000234,U006315,web,tablet,CA,organic,Beauty,5,93,5,5,0,1,0.0
S0000235,U003997,mobile,android,BR,affiliate,Groceries,8,147,8,8,0,1,0.0
S0000236,U004454,mobile,android,JP,affiliate,Home,4,45,4,4,0,1,0.0
S0000237,U000006,app,ios,FR,organic,Beauty,7,128,7,7,1,0,132.83
S0000238,U003358,mobile,desktop,UK,direct,Shoes,4,95,4,4,1,0,261.8
S0000239,U003977,web,tablet,US,referral,Home,6,140,6,6,1,0,23.26
S0000240,U006562,web,tablet,AU,affiliate,Sports,5,87,5,5,0,1,0.0
S0000241,U000796,app,tablet,IN,paid_search,Accessories,5,74,5,5,0,1,0.0
S0000242,U006278,app,tablet,AU,referral,Beauty,6,104,6,6,0,1,0.0
S0000243,U006922,mobile,android,FR,direct,Sports,4,96,4,4,1,0,48.06
S0000244,U003253,app,android,US,direct,Shoes,3,57,3,3,0,1,0.0
S0000245,U001818,mobile,android,US,direct,Home,7,111,7,7,0,1,0.0
S0000246,U006645,web,ios,FR,referral,Home,3,45,3,3,0,1,0.0
S0000247,U006714,app,desktop,DE,referral,Sports,3,51,3,3,0,1,0.0
S0000248,U007208,mobile,ios,UK,referral,Beauty,8,146,8,8,0,1,0.0
S0000249,U002374,web,android,CA,organic,Home,7,127,7,7,0,1,0.0
S0000250,U005344,web,ios,BR,paid_search,Shoes,3,69,3,3,1,0,304.86
S0000251,U000922,mobile,android,AU,paid_search,Home,8,120,8,8,1,0,446.87
S0000252,U006208,web,ios,US,direct,Accessories,8,112,8,8,1,0,69.11
S0000253,U004496,app,desktop,CA,email,Sports,6,115,6,6,1,0,91.81
S0000254,U005432,web,android,US,affiliate,Apparel,5,97,5,5,0,1,0.0
S0000255,U001630,mobile,desktop,BR,organic,Electronics,7,150,7,7,0,1,0.0
S0000256,U001848,mobile,ios,FR,organic,Groceries,7,152,7,7,0,1,0.0
S0000257,U001694,web,ios,BR,affiliate,Sports,4,42,4,4,0,1,0.0
S0000258,U002601,app,desktop,BR,paid_search,Beauty,5,96,5,5,0,1,0.0
S0000259,U001245,web,ios,CA,organic,Electronics,9,140,9,9,0,1,0.0
S0000260,U001584,web,desktop,FR,social,Groceries,4,95,4,4,0,1,0.0
S0000261,U007104,mobile,tablet,AU,paid_search,Groceries,9,135,9,9,0,1,0.0
S0000262,U004250,mobile,tablet,US,direct,Shoes,6,112,6,6,0,1,0.0
S0000263,U007403,mobile,desktop,JP,referral,Groceries,7,133,7,7,0,1,0.0
S0000264,U002049,app,desktop,CA,organic,Apparel,3,40,3,3,0,1,0.0
S0000265,U005955,app,tablet,CA,direct,Accessories,6,89,6,6,1,0,128.4
S0000266,U005982,mobile,desktop,CA,paid_search,Shoes,7,78,7,7,1,0,317.97
S0000267,U000651,app,ios,US,direct,Electronics,7,146,7,7,0,1,0.0
S0000268,U001461,app,ios,DE,email,Sports,4,58,4,4,0,1,0.0
S0000269,U006214,app,android,UK,email,Apparel,4,69,4,4,0,1,0.0
S0000270,U005701,app,desktop,US,direct,Electronics,5,79,5,5,0,1,0.0
S0000271,U004712,mobile,tablet,CA,direct,Home,8,144,8,8,1,0,416.16
S0000272,U006604,web,ios,US,referral,Electronics,7,111,7,7,0,1,0.0
S0000273,U002708,app,tablet,JP,affiliate,Shoes,8,120,8,8,1,0,7.73
S0000274,U000154,app,android,AU,organic,Accessories,8,230,8,8,0,1,0.0
S0000275,U003045,mobile,android,IN,paid_search,Apparel,5,103,5,5,0,1,0.0
S0000276,U001263,mobile,android,JP,affiliate,Home,9,225,9,9,0,1,0.0
S0000277,U000845,app,desktop,DE,direct,Home,7,127,7,7,0,1,0.0
S0000278,U004585,web,android,IN,direct,Beauty,5,95,5,5,0,1,0.0
S0000279,U005024,app,desktop,JP,paid_search,Apparel,4,73,4,4,0,1,0.0
S0000280,U003211,app,android,JP,social,Beauty,5,82,5,5,0,1,0.0
S0000281,U000762,web,android,JP,referral,Home,5,94,5,5,0,1,0.0
S0000282,U005732,mobile,tablet,JP,organic,Shoes,8,115,8,8,0,1,0.0
S0000283,U003777,app,ios,FR,direct,Groceries,4,80,4,4,0,1,0.0
S0000284,U003532,app,ios,AU,paid_search,Apparel,7,116,7,7,1,0,365.47
S0000285,U000571,web,android,FR,email,Shoes,5,66,5,5,0,1,0.0
S0000286,U002388,app,ios,JP,paid_search,Groceries,5,97,5,5,0,1,0.0
S0000287,U006944,mobile,android,US,direct,Shoes,8,152,8,8,0,1,0.0
S0000288,U001731,mobile,ios,CA,direct,Groceries,5,106,5,5,0,1,0.0
S0000289,U005390,web,ios,UK,referral,Groceries,5,130,5,5,0,1,0.0
S0000290,U006719,mobile,ios,AU,paid_search,Groceries,7,121,7,7,0,1,0.0
S0000291,U000928,mobile,ios,UK,referral,Sports,5,66,5,5,0,1,0.0
S0000292,U003871,app,android,UK,direct,Shoes,4,56,4,4,1,0,118.26
S0000293,U007423,app,tablet,AU,social,Beauty,4,71,4,4,0,1,0.0
S0000294,U000504,mobile,desktop,CA,referral,Electronics,7,145,7,7,0,1,0.0
S0000295,U006074,app,ios,CA,referral,Home,6,72,6,6,0,1,0.0
S0000296,U006732,mobile,tablet,FR,paid_search,Home,3,60,3,3,0,1,0.0
S0000297,U006016,web,desktop,DE,organic,Accessories,7,109,7,7,1,0,127.44
S0000298,U002366,mobile,desktop,AU,organic,Sports,5,90,5,5,0,1,0.0
S0000299,U005361,mobile,ios,JP,referral,Accessories,9,164,9,9,0,1,0.0
S0000300,U000195,web,ios,US,direct,Apparel,3,42,3,3,0,1,0.0
S0000301,U001065,app,desktop,CA,referral,Accessories,7,121,7,7,1,0,123.58
S0000302,U003184,web,android,DE,paid_search,Home,3,42,3,3,0,1,0.0
S0000303,U001462,mobile,ios,UK,direct,Apparel,6,123,6,6,0,1,0.0
S0000304,U001220,app,desktop,US,referral,Groceries,5,73,5,5,0,1,0.0
S0000305,U003309,app,desktop,IN,email,Home,6,95,6,6,0,1,0.0
S0000306,U006891,mobile,ios,IN,direct,Shoes,4,63,4,4,0,1,0.0
S0000307,U000696,mobile,ios,IN,organic,Accessories,3,34,3,3,0,1,0.0
S0000308,U000517,app,tablet,DE,direct,Home,8,105,8,8,0,1,0.0
S0000309,U005357,mobile,ios,US,referral,Apparel,6,98,6,6,0,1,0.0
S0000310,U000936,app,desktop,IN,affiliate,Accessories,3,63,3,3,0,1,0.0
S0000311,U005605,app,android,CA,affiliate,Beauty,4,75,4,4,0,1,0.0
S0000312,U006206,web,ios,AU,email,Electronics,4,29,4,4,0,1,0.0
S0000313,U007206,web,desktop,US,paid_search,Apparel,7,168,7,7,1,0,447.8
S0000314,U001430,app,ios,US,referral,Home,7,95,7,7,0,1,0.0
S0000315,U002965,app,tablet,IN,affiliate,Accessories,8,151,8,8,0,1,0.0
S0000316,U005053,web,desktop,UK,direct,Accessories,8,136,8,8,0,1,0.0
S0000317,U006044,web,ios,FR,organic,Home,3,63,3,3,0,1,0.0
S0000318,U001771,mobile,tablet,CA,social,Apparel,7,86,7,7,1,0,162.41
S0000319,U003427,mobile,android,IN,direct,Accessories,8,149,8,8,0,1,0.0
S0000320,U006031,web,tablet,AU,direct,Electronics,6,81,6,6,0,1,0.0
S0000321,U004351,mobile,tablet,UK,email,Electronics,8,144,8,8,0,1,0.0
S0000322,U003800,app,ios,FR,affiliate,Shoes,5,109,5,5,0,1,0.0
S0000323,U003489,app,ios,BR,affiliate,Apparel,4,67,4,4,0,1,0.0
S0000324,U000910,mobile,desktop,JP,social,Groceries,5,105,5,5,0,1,0.0
S0000325,U000931,mobile,ios,IN,social,Groceries,4,54,4,4,0,1,0.0
S0000326,U002829,mobile,desktop,BR,email,Sports,3,39,3,3,0,1,0.0
S0000327,U005087,app,ios,UK,email,Apparel,8,97,8,8,1,0,405.63
S0000328,U003442,app,android,US,paid_search,Shoes,5,76,5,5,0,1,0.0
S0000329,U003983,app,tablet,BR,email,Groceries,7,106,7,7,1,0,159.3
S0000330,U005068,app,android,BR,paid_search,Accessories,4,84,4,4,1,0,289.86
S0000331,U000338,app,tablet,CA,social,Groceries,6,129,6,6,0,1,0.0
S0000332,U000205,mobile,tablet,CA,social,Accessories,5,105,5,5,0,1,0.0
S0000333,U002775,app,desktop,JP,paid_search,Sports,6,84,6,6,0,1,0.0
